Date,Net_Income,Total_Revenue,Total_amount_of_Invoice,Total_amount_of_Bill,Total_Cost_of_Sales,Gross_Profit,Total_Operating_Expenses,Total_Current_Assets,Total_Assets,Total_Current_Liabilities,Total_Liabilities,Total_Equity,Total_Liabilities_and_Equity
2018_09,0,0,0,0,0,0,0,0,0,2000,2000,-2000,0
2018_10,0,0,0,0,0,0,0,0,0,2000,2000,-2000,0
2018_11,0,0,0,0,0,0,0,0,0,2000,2000,-2000,0
2018_12,0,0,0,0,0,0,0,0,0,2000,2000,-2000,0
2019_01,0,0,0,0,0,0,0,0,0,2000,2000,-2000,0
2019_02,0,0,0,0,0,0,0,0,0,2000,2000,-2000,0
2019_03,0,0,0,0,0,0,0,0,0,2000,2000,-2000,0
2019_04,0,0,0,0,0,0,0,0,0,2000,2000,-2000,0
2019_05,0,0,0,0,0,0,0,0,0,2000,2000,-2000,0
2019_06,0,0,0,0,0,0,0,0,4130.98,6130.98,6130.98,-2000,4130.98
2019_07,367.67,457.67,0,0,0,457.67,90,500,4630.98,6263.31,6263.31,-1632.33,4630.98
2019_08,362.17,457.67,500,90,0,457.67,95.5,500,5040.98,6311.14,6311.14,-1270.16,5040.98
2019_09,360.67,457.67,500,95.5,0,457.67,97,500,5445.48,6354.97,6354.97,-909.49,5445.48
2019_10,823.34,915.34,500,97,0,915.34,92,1000,6348.48,6434.63,6434.63,-86.15,6348.48
2019_11,368.67,457.67,1000,92,0,457.67,89,500,6756.48,6473.96,6473.96,282.52,6756.48
2019_12,366.67,457.67,500,89,0,457.67,91,500,7167.48,6518.29,6518.29,649.19,7167.48
2020_01,247567.95,247664.2,57531.5,91,0,247664.2,96.25,197022.14,257425.3,9208.16,9208.16,248217.14,257425.3
2020_02,51947.77,52048.37,22892.75,96.25,0,52048.37,100.6,278282.34,361482,10775.84,10775.84,350706.16,361482
2020_03,53238.89,54344.64,234572.25,285.17,0,54344.64,1105.75,99827.87,419053.74,15108.69,15108.69,403945.05,419053.74
2020_04,24801.17,24907.67,76491.94,2735.75,0,24907.67,106.5,48518.61,441500.67,12754.45,12754.45,428746.22,441500.67
2020_05,248375.83,251178.14,34021.1,10612.5,0,251178.14,2802.31,279407.16,695219.86,18097.81,18097.81,677122.05,695219.86
2020_06,206057.95,207853.71,393934.49,5816.75,0,207853.71,1795.76,-79175.67,901875.81,18695.81,18695.81,883180,901875.81
2020_07,501574.41,539157.57,156108.57,30926.21,1540,537617.57,36043.16,14987.74,1400516.23,15761.82,15761.82,1384754.41,1400516.23
2020_08,987114.88,1091665.31,746918.08,16755.33,88002.2,1003663.11,16548.23,108095.95,2450141.19,78271.9,78271.9,2371869.29,2450141.19
2020_09,103696.85,157909.85,165356.36,58603,36213,121696.85,18000,184117.01,2564616.07,115447.43,115447.43,2449168.64,2564616.07
